asignatura,tema,año,convocatoria,ejercicio,tipo_ejercicio
química,ácido base,2000,Junio,Opción A - Ejercicio 4,Pares ácido-base conjugados según Brønsted-Lowry: completar equilibrios
química,ácido base,2000,Junio,Opción B - Ejercicio 6,Equilibrio ácido débil: cálculo de masa a partir del pH + procedimiento de preparación
química,ácido base,2000,Reserva 1,Opción A - Ejercicio 3,Hidrólisis de sales: color de indicador (estimación cualitativa del pH)
química,ácido base,2000,Reserva 1,Opción B - Ejercicio 6,Equilibrio ácido débil: pH y grado de disociación
química,ácido base,2000,Reserva 2,Opción A - Ejercicio 3,Hidrólisis de NH₄⁺: equilibrio de Brønsted y efecto de reactivos sobre el equilibrio
química,ácido base,2000,Reserva 3,Opción A - Ejercicio 5,pH de base fuerte: cálculo de masa de soluto + procedimiento de preparación
química,ácido base,2000,Reserva 3,Opción B - Ejercicio 3,pH de base fuerte: cálculo de concentraciones y pH
química,ácido base,2000,Reserva 4,Opción A - Ejercicio 4,Hidrólisis de sales: estimación cualitativa del pH (CaCl₂ / NH₄Cl / Na₂CO₃)
química,ácido base,2000,Reserva 4,Opción B - Ejercicio 5,Equilibrio base débil (NH₃): pH y grado de disociación
química,ácido base,2000,Septiembre,Opción A - Ejercicio 4,Clasificación de especies según Brønsted-Lowry: anfóteros / bases conjugadas / ácidos conjugados
química,ácido base,2001,Junio,Opción A - Ejercicio 3,pH de ácido fuerte + dilución y nuevo pH + procedimiento de preparación
química,ácido base,2001,Junio,Opción B - Ejercicio 5,Molaridad y pH de base fuerte + neutralización: molaridad del ácido
química,ácido base,2001,Reserva 1,Opción A - Ejercicio 6,Equilibrio ácido débil: pH y cálculo de Ka
química,ácido base,2001,Reserva 1,Opción B - Ejercicio 4,pH de ácido fuerte a partir del pH + preparación de disolución diluida
química,ácido base,2001,Reserva 2,Opción A - Ejercicio 6,Equilibrio ácido débil: pH y grado de disociación y Ka
química,ácido base,2001,Reserva 2,Opción B - Ejercicio 3,Hidrólisis de sales: estimación cualitativa del pH (HF / Na₂CO₃ / NH₄Cl)
química,ácido base,2001,Reserva 4,Opción A - Ejercicio 5,pH de ácido y base fuertes + neutralización con exceso
química,ácido base,2001,Reserva 4,Opción B - Ejercicio 3,Pares ácido-base conjugados según Brønsted-Lowry: completar ecuaciones
química,ácido base,2001,Septiembre,Opción A - Ejercicio 5,Equilibrio base débil (NH₃): concentraciones iónicas / pH / grado de disociación
química,ácido base,2001,Septiembre,Opción B - Ejercicio 4,Verdadero o falso: ácidos débiles / base conjugada / disoluciones diluidas
química,ácido base,2002,Junio,Opción A - Ejercicio 5,Equilibrio ácido débil: grado de disociación y pH
química,ácido base,2002,Junio,Opción B - Ejercicio 4,Hidrólisis de sales: estimación cualitativa del pH
química,ácido base,2002,Reserva 1,Opción A - Ejercicio 6,Equilibrio ácido débil: grado de disociación y pH
química,ácido base,2002,Reserva 1,Opción B - Ejercicio 4,Neutralización ácido-base fuerte: volumen y procedimiento de valoración
química,ácido base,2002,Reserva 2,Opción B - Ejercicio 4,pH de base fuerte: cálculo de concentraciones y pH
química,ácido base,2002,Reserva 3,Opción A - Ejercicio 3,Clasificación de especies según Brønsted-Lowry: ácido / base / anfótero
química,ácido base,2002,Reserva 3,Opción B - Ejercicio 5,pH de ácido y base fuertes + neutralización con exceso
química,ácido base,2002,Reserva 4,Opción B - Ejercicio 4,Verdadero o falso: ácidos débiles y relación Ka / grado de disociación / pH
química,ácido base,2002,Septiembre,Opción A - Ejercicio 4,Identificación ácido fuerte vs débil por pH + hidrólisis de sal (NH₄Cl)
química,ácido base,2003,Junio,Ejercicio B4,Cuestiones teóricas (ácido/base fuerte vs débil; efecto de la dilución sobre el pH)
química,ácido base,2003,Reserva 1,Ejercicio A6,Equilibrio de ácido débil (grado de disociación y pH a partir de Ka)
química,ácido base,2003,Reserva 1,Ejercicio B4,Clasificación de disoluciones por acidez/basicidad a partir de pH y concentración
química,ácido base,2003,Reserva 2,Ejercicio A4,Pares ácido-base conjugados y anfóteros según Brønsted-Lowry (NH4⁺; CH3COOH; HCO3⁻; OH⁻)
química,ácido base,2003,Reserva 3,Ejercicio A3,Verdadero o falso (HSO4⁻ como ácido Arrhenius; CO3²⁻ como base Brønsted-Lowry)
química,ácido base,2003,Reserva 3,Ejercicio B5,Dilución de base fuerte (volumen de agua) y cálculo de pH
química,ácido base,2003,Reserva 4,Ejercicio A6,Equilibrio de ácido débil (Ka y pH a partir del grado de disociación)
química,ácido base,2003,Reserva 4,Ejercicio B4,Clasificación de especies según Brønsted-Lowry (ácido; base; anfótero)
química,ácido base,2003,Septiembre,Ejercicio A5,Concentración de iones en mezcla de ácido fuerte y sal neutra; pH
química,ácido base,2003,Septiembre,Ejercicio B4,Bases conjugadas de ácidos débiles y relación Ka-Kb entre pares conjugados
química,ácido base,2004,Junio,Ejercicio A3,Clasificación de especies según Brønsted-Lowry (ácido; base; anfótero)
química,ácido base,2004,Junio,Ejercicio B5,pH de base fuerte dibásica (Ba(OH)2) y concentración de iones
química,ácido base,2004,Reserva 1,Ejercicio A6,Equilibrio de ácido débil (pH y Ka a partir del grado de disociación)
química,ácido base,2004,Reserva 1,Ejercicio B4,Tabla pH / [H3O⁺] / [OH⁻] (cálculos de pH y clasificación ácido/básico)
química,ácido base,2004,Reserva 2,Ejercicio B4,Preparación de disolución de base fuerte (procedimiento; [OH⁻]; pH)
química,ácido base,2004,Reserva 3,Ejercicio A6,Preparación de disolución de base fuerte (gramos; pH; neutralización con HCl)
química,ácido base,2004,Reserva 3,Ejercicio B4,Pares ácido-base conjugados (completar equilibrios Brønsted-Lowry)
química,ácido base,2004,Reserva 4,Ejercicio A6,Equilibrio de base débil (pH y grado de disociación a partir de Kb)
